ID,County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Electric Utility,Expected Price ($1k)
EV54206,King,REDMOND,WA,98052,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15
EV9276,King,SEATTLE,WA,98126,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),20
EV63807,King,WOODINVILLE,WA,98077,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),69
EV84951,Mason,UNION,WA,98592,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF MASON COUNTY,35
EV9722,Spokane,SPOKANE,WA,99205,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,MODERN ELECTRIC WATER COMPANY,18.5
EV56960,Pierce,GRAHAM,WA,98338,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,33.9
EV16464,Snohomish,BOTHELL,WA,98012,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,PUGET SOUND ENERGY INC,35
EV72797,King,MERCER ISLAND,WA,98040,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),25.004
EV89512,Clallam,PORT ANGELES,WA,98362,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),37.413
EV88361,Snohomish,LYNNWOOD,WA,98036,2014,SMART,FORTWO ELECTRIC DRIVE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,PUGET SOUND ENERGY INC,5.499
EV88513,San Juan,FRIDAY HARBOR,WA,98250,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,20.004
EV81200,Whatcom,BELLINGHAM,WA,98225,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,27
EV91629,Snohomish,MILL CREEK,WA,98012,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,PUGET SOUND ENERGY INC,20
EV33171,King,SEATTLE,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),69
EV18179,Skagit,ANACORTES,WA,98221,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,PUGET SOUND ENERGY INC,62
